我	3400491
的	3232754
你	2808041
了	1814040
是	1769364
不	1031481
在	900122
他	825191
我们	681463
好	568318
这	562364
有	538540
吗	537895
要	467437
什么	442133
一	428221
就	424646
吧	421804
她	408111
想	391212
知道	370315
说	368516
很	357816
那	356986
去	342072
人	341389
都	330553
会	309377
来	307914
啊	279015
他们	271849
和	268481
也	267840
一个	249860
个	248644
没有	233310
做	231789
把	223273
对	221257
给	211775
到	205238
让	200541
得	195958
能	195430
没	188338
上	183799
还	181000
可以	178341
着	172253
看	172056
你们	170914
过	167865
但	165513
事	160858
走	160295
呢	159806
怎么	158278
现在	156521
它	154534
跟	153179
这个	148783
就是	140930
如果	140371
别	134451
被	130745
这里	129978
这样	125508
們	123253
太	120878
多	112204
自己	109475
谁	107560
快	107116
不会	104232
像	104109
再	104074
告诉	102198
里	101787
真的	100482
先生	100336
不能	99631
只是	97251
为什么	96932
這	96025
因为	95205
不要	94834
死	92880
找	91307
大	89917
已经	89811
哦	89784
谢谢	89114
天	89064
需要	87112
真	85558
这么	84187
听	83742
叫	83708
点	82957
可能	79648
喜欢	78689
等	78323
但是	78162
用	76638
又	76508
从	76101
所以	75677
下	75445
东西	72716
觉得	72098
個	71675
时候	71082
还有	70868
为	70824
那个	70757
两	70648
次	69645
请	69139
我会	68520
一下	68494
一起	68430
來	68285
最	68159
而	67656
孩子	67384
吃	66811
这些	66795
只	66607
应该	65778
才	65409
小	64905
打	64570
看到	64195
更	64099
出	63870
中	63362
帮	62542
爱	62499
拿	62322
那么	61284
您	60001
哪	59667
当	59399
干	58303
會	58003
嘿	57748
工作	57721
所有	57670
问题	57655
该	57469
时间	57437
呀	57236
钱	56472
带	56347
嗯	56238
还是	55591
可	55425
将	55318
沒	54343
一样	54341
回	53619
开始	53261
看看	53152
嗎	52847
比	52499
朋友	52261
们	51732
嘛	51648
然后	51562
年	51461
希望	50575
地方	50467
一定	50181
今天	49916
回来	49877
啦	49076
一切	48906
相信	48852
說	47731
事情	47694
找到	47688
当然	47573
一直	47095
起来	46574
地	46359
爸爸	46136
非常	45786
没事	45482
那些	45191
麼	45191
见	45099
什麼	45056
杀	44825
离开	44756
明白	44432
妈妈	44243
出来	43843
一点	43523
你好	43370
时	43234
前	43190
三	43091
发生	42940
对不起	42281
认为	41815
真是	41790
之	41375
必须	41059
抱歉	40983
那里	40743
住	40684
也许	40577
行	40376
有人	40235
哪里	40216
后	40043
意思	39757
过来	39620
先	39540
件	39226
几	39078
并	38749
大家	37998
准备	37497
還	37319
一些	37218
与	37152
妈	37104
新	36473
所	36378
问	35792
女人	35784
怎	35619
这儿	35559
出去	35517
得到	35424
喝	35218
起	35168
為	35075
些	35021
不过	35016
很多	34359
第一	34164
生活	33495
任何	33375
为了	33181
對	32980
只有	32865
向	32863
以为	32442
坐	32416
怎么样	32159
开	31969
或	31930
噢	31861
位	31683
已	31661
是不是	31571
放	31561
嗨	31273
车	31130
男人	31101
而且	31043
不错	30744
发现	30735
感觉	30735
这种	30014
世界	29831
過	29797
家	29670
话	29565
上帝	29500
买	29395
名字	29369
之前	29178
不用	29041
喂	29001
可是	28854
快点	28757
搞	28747
以	28645
的话	28543
玩	28114
肯定	28100
记得	28044
跑	28033
下来	27887
最好	27828
没错	27758
电话	27695
等等	27568
不行	27555
手	27429
亲爱的	27239
活	26770
回家	26585
女孩	26561
错	26501
掉	26403
如何	26372
成	26326
高兴	26271
他妈的	26137
穿	25890
有点	25863
干什么	25860
么	25625
认识	25569
担心	25551
給	25250
小姐	25130
棒	25105
警察	25084
号	24923
正在	24906
送	24758
继续	24750
家伙	24688
最后	24673
拉	24626
完	24563
到底	24490
樣	24396
弄	24355
过去	24326
那样	24326
再见	24253
父亲	24140
重要	23903
听到	23609
写	23587
懂	23579
多少	23505
只要	23403
以前	23392
明天	23348
回去	23198
現	23190
医生	23172
點	23091
今晚	23045
种	22920
救	22911
它们	22857
好像	22476
儿子	22367
该死	22178
哪儿	22110
美国	22002
怎样	21962
说话	21844
却	21610
漂亮	21452
讓	21421
条	21408
永远	21404
完全	21181
站	21164
看起来	21121
长	21115
进	21097
高	21041
枪	20861
清楚	20745
如此	20714
分钟	20706
马上	20686
伙计	20634
或者	20612
晚上	20609
睡	20417
不到	20398
其他	20215
看见	20193
敢	20044
開	19892
者	19863
岁	19842
兄弟	19738
小心	19607
张	19482
米	19461
变	19459
小时	19434
著	19357
之后	19340
正	19320
美	19310
別	19214
够	19185
名	19160
宝贝	19085
刚	19064
生	19052
另	19044
情况	19031
留	19009
不好	18943
别人	18936
早	18831
见到	18824
本	18794
下去	18703
因	18641
公司	18624
琌	18608
花	18414
每	18312
房子	18235
心	18174
机会	18039
安全	18024
总是	17990
无法	17952
月	17928
份	17914
马	17885
久	17874
呃	17841
好好	17812
成为	17780
了解	17777
结束	17761
混蛋	17737
爸	17730
停	17703
打电话	17680
狗	17659
没什么	17622
确定	17618
查	17587
谈	17559
里面	17552
忙	17492
进来	17431
水	17330
杯	17324
有些	17306
拜托	17283
帮助	17282
信	17227
根本	17152
决定	17117
晚	17112
四	17069
衣服	17001
女儿	16989
抓	16821
怎么办	16748
长官	16733
办法	16712
不管	16708
个人	16678
于	16657
头	16567
忘	16566
讲	16456
关于	16426
动	16417
进去	16410
麻烦	16335
接	16277
五	16260
每个	16237
唯一	16157
夫人	16111
猜	16091
计划	16006
神	15878
老	15841
故事	15668
场	15641
甚至	15438
其实	15379
来说	15375
挺	15331
消息	15303
全	15248
見	15238
時	15206
真正	15153
待	15087
鬼	15046
女士	15040
连	15020
由	15001
人们	14993
喔	14992
疯	14913
那边	14873
门	14750
跳	14717
愿意	14665
拍	14665
經	14649
房间	14641
那儿	14554
求	14545
德	14534
後	14484
史	14465
就要	14450
听说	14422
女	14401
害怕	14398
二	14375
派	14346
注意	14319
哇	14048
啥	14018
酒	13992
笑	13971
路	13968
都会	13869
打算	13867
母亲	13846
西	13843
改变	13837
妻子	13740
关系	13735
戴	13718
没关系	13681
怕	13675
结婚	13664
此	13621
回到	13589
往	13564
生命	13543
以后	13539
失去	13512
接受	13510
欢迎	13470
妳	13402
从来	13393
教	13391
是否	13376
坏	13337
电影	13312
这次	13234
倒	13180
感谢	13074
内	13054
眼睛	13018
定	12989
原因	12888
話	12835
偷	12789
可不	12781
远	12776
恩	12768
第二	12750
裡	12716
受	12659
保护	12649
使	12643
至少	12621
加	12616
无	12612
她们	12605
想到	12597
选择	12550
少	12546
法	12490
外面	12461
身上	12403
还要	12399
太太	12386
当时	12386
成功	12377
整个	12359
块	12345
丈夫	12312
刚才	12311
行动	12295
俩	12290
出现	12289
算	12250
小子	12222
特别	12171
保证	12149
很快	12138
学校	12133
不同	12121
试	12075
感到	12068
該	12059
国家	12052
开心	12014
或许	12003
赢	12001
难	12000
發	11962
卖	11960
谈谈	11945
换	11929
奇怪	11920
危险	11840
照片	11839
方式	11800
句	11758
哥	11738
克	11725
曾	11705
保持	11677
聽	11656
难道	11644
看来	11631
做到	11625
才能	11593
处理	11568
周	11561
刚刚	11493
完成	11489
覺	11461
呆	11435
样子	11422
变成	11394
